direction, mx, my, mz, mx_max, my_max, mz_max, mx_min, my_min, mz_min,,mx,my,mz,,,,,,,,,,,,,,mx,my,mz,,,,,,,,,,,,,mx,my,mz
Left,-32,-11,22,0,9,24,-59,-16,7,,24,91,26,,,Right,-27,-5,20,24,91,26,-100,-38,-111,,20,93,24,,Straight,-34,-11,19,24,93,26,-100,-38,-111,,25,93,25
Left,-33,-11,24,0,9,24,-59,-16,7,,-100,-38,-111,,,Right,-27,-7,17,24,91,26,-100,-38,-111,,-91,-38,-109,,Straight,-35,-10,19,24,93,26,-100,-38,-111,,-96,-37,-105
Left,-31,-11,21,0,9,24,-59,-16,7,,,,,,,Right,-26,-8,17,24,91,26,-100,-38,-111,,,,,,Straight,-34,-11,20,24,93,26,-100,-38,-111,,,,
Left,-33,-11,20,0,9,24,-59,-16,7,,,,,,,Right,-23,-8,16,24,91,26,-100,-38,-111,,,,,,Straight,-35,-10,21,24,93,26,-100,-38,-111,,,,
Left,-33,-10,21,0,9,24,-59,-16,7,,,,,,,Right,-23,-8,18,24,91,26,-100,-38,-111,,,,,,Straight,-35,-11,19,24,93,26,-100,-38,-111,,,,
Left,-33,-9,22,0,9,24,-59,-16,7,,,,,,,Right,-25,-7,18,24,91,26,-100,-38,-111,,,,,,Straight,-35,-11,18,24,93,26,-100,-38,-111,,,,
Left,-32,-10,21,0,9,24,-59,-16,7,,,,,,,Right,-23,-10,17,24,91,26,-100,-38,-111,,,,,,Straight,-36,-12,20,24,93,26,-100,-38,-111,,,,
Left,-31,-13,22,0,9,24,-59,-16,7,,,,,,,Right,-24,-9,18,24,91,26,-100,-38,-111,,,,,,Straight,-34,-11,17,24,93,26,-100,-38,-111,,,,
Left,-31,-10,20,0,9,24,-59,-16,7,,,,,,,Right,-23,-7,19,24,91,26,-100,-38,-111,,,,,,Straight,-33,-10,17,24,93,26,-100,-38,-111,,,,
Left,-30,-10,21,0,9,24,-59,-16,7,,,,,,,Right,-23,-9,16,24,91,26,-100,-38,-111,,,,,,Straight,-33,-9,20,24,93,26,-100,-38,-111,,,,
Left,-33,-11,20,0,9,24,-59,-16,7,,,,,,,Right,-23,-6,17,24,91,26,-100,-38,-111,,,,,,Straight,-34,-12,16,24,93,26,-100,-38,-111,,,,
Left,-33,-10,21,0,9,24,-59,-16,7,,,,,,,Right,-23,-7,18,24,91,26,-100,-38,-111,,,,,,Straight,-34,-9,21,24,93,26,-100,-38,-111,,,,
Left,-33,-10,21,0,9,24,-59,-16,7,,,,,,,Right,-24,-9,18,24,91,26,-100,-38,-111,,,,,,Straight,-33,-12,20,24,93,26,-100,-38,-111,,,,
Left,-32,-8,22,0,9,24,-59,-16,7,,,,,,,Right,-24,-8,18,24,91,26,-100,-38,-111,,,,,,Straight,-33,-9,18,24,93,26,-100,-38,-111,,,,
Left,-32,-9,21,0,9,24,-59,-16,7,,,,,,,Right,-24,-7,17,24,91,26,-100,-38,-111,,,,,,Straight,-32,-10,19,24,93,26,-100,-38,-111,,,,
Left,-30,-11,23,0,9,24,-59,-16,7,,,,,,,Right,-23,-8,17,24,91,26,-100,-38,-111,,,,,,Straight,-33,-11,19,24,93,26,-100,-38,-111,,,,
Left,-32,-11,21,0,9,24,-59,-16,7,,,,,,,Right,-26,-7,18,24,91,26,-100,-38,-111,,,,,,Straight,-34,-10,17,24,93,26,-100,-38,-111,,,,
Left,-33,-9,20,0,9,24,-59,-16,7,,,,,,,Right,-23,-8,18,24,91,26,-100,-38,-111,,,,,,Straight,-34,-10,22,24,93,26,-100,-38,-111,,,,
Left,-31,-10,20,0,9,24,-59,-16,7,,,,,,,Right,-24,-8,18,24,91,26,-100,-38,-111,,,,,,Straight,-33,-10,18,24,93,26,-100,-38,-111,,,,
Left,-33,-12,20,0,9,24,-59,-16,7,,,,,,,Right,-23,-9,17,24,91,26,-100,-38,-111,,,,,,Straight,-33,-11,18,24,93,26,-100,-38,-111,,,,
Left,-33,-12,19,0,9,24,-59,-16,7,,,,,,,Right,-24,-6,16,24,91,26,-100,-38,-111,,,,,,Straight,-33,-11,20,24,93,26,-100,-38,-111,,,,
Left,-32,-13,22,0,9,24,-59,-16,7,,,,,,,Right,-24,-6,18,24,91,26,-100,-38,-111,,,,,,Straight,-32,-12,18,24,93,26,-100,-38,-111,,,,
Left,-32,-12,21,0,9,24,-59,-16,7,,,,,,,Right,-26,-7,17,24,91,26,-100,-38,-111,,,,,,Straight,-34,-13,18,24,93,26,-100,-38,-111,,,,
Left,-33,-11,21,0,9,24,-59,-16,7,,,,,,,Right,-24,-9,18,24,91,26,-100,-38,-111,,,,,,Straight,-34,-11,18,24,93,26,-100,-38,-111,,,,
Left,-31,-11,20,0,9,24,-59,-16,7,,,,,,,Right,-23,-6,17,24,91,26,-100,-38,-111,,,,,,Straight,-32,-13,20,24,93,26,-100,-38,-111,,,,
Left,-31,-10,22,0,9,24,-59,-16,7,,,,,,,Right,-22,-8,17,24,91,26,-100,-38,-111,,,,,,Straight,-34,-11,19,24,93,26,-100,-38,-111,,,,
Left,-31,-13,22,0,9,24,-59,-16,7,,,,,,,Right,-25,-6,18,24,91,26,-100,-38,-111,,,,,,Straight,-33,-11,18,24,93,26,-100,-38,-111,,,,
Left,-32,-9,23,0,9,24,-59,-16,7,,,,,,,Right,-25,-7,15,24,91,26,-100,-38,-111,,,,,,Straight,-32,-11,20,24,93,26,-100,-38,-111,,,,
Left,-33,-11,20,0,9,24,-59,-16,7,,,,,,,Right,-25,-9,18,24,91,26,-100,-38,-111,,,,,,Straight,-33,-11,21,24,93,26,-100,-38,-111,,,,
