ax,ay,az,gx,gy,gz,mx,my,mz,t
1272,448,16228,-22,-40,101,-25,20,44,45036
1448,296,16264,-158,-96,195,-25,21,43,45071
1620,60,16356,-184,60,-39,-21,20,43,45107
1464,204,16400,146,183,-184,-23,20,43,45142
1168,296,16280,-7,178,-213,-21,19,44,45176
1184,432,16420,-13,49,-115,-21,20,41,45212
1176,408,16352,51,21,-40,-22,20,44,45247
1300,316,16344,35,89,34,-24,21,44,45283
1292,188,16400,32,12,90,-23,21,43,45318
1388,152,16352,183,220,-27,-22,20,44,45352
1424,320,16264,224,189,-48,-23,23,43,45388
1384,276,16184,-3,166,-62,-23,22,44,45423
1288,376,16324,129,210,-141,-22,21,44,45459
1216,392,16284,117,193,-78,-23,21,44,45494
1252,348,16300,-58,45,-74,-23,21,41,45529
1320,276,16300,28,21,-80,-22,21,41,45564
1252,436,16264,78,156,-112,-24,21,43,45599
1172,380,16224,-22,47,-1,-23,20,42,45635
1256,400,16284,-105,0,25,-22,21,41,45670
1264,360,16248,15,212,31,-23,22,42,45705
1248,448,16272,44,314,254,-24,21,43,45741
1280,408,16456,-128,411,427,-22,21,43,45775
880,144,17216,16,493,881,-22,20,44,45811
1312,184,17024,556,-274,627,-23,20,43,45846
764,564,16160,913,924,825,-21,21,42,45881
232,1784,14312,430,3596,2980,-23,20,44,45917
320,116,16724,-795,-448,3465,-22,22,43,45952
788,116,16120,493,490,2522,-23,20,43,45987
868,356,15952,458,55,2026,-24,19,43,46022
1384,120,15800,240,-13,1832,-24,17,43,46058
1600,156,16064,202,-157,1026,-24,18,43,46093
1496,260,16264,196,253,610,-25,19,42,46129
1544,152,16624,90,60,362,-24,19,45,46163
1512,264,16104,685,542,-33,-24,17,42,46198
848,588,16128,560,879,131,-23,19,42,46234
1240,476,15952,316,1188,209,-23,17,42,46269
1312,480,14604,682,3532,278,-24,20,41,46305
-416,712,16760,467,4321,1176,-27,17,42,46340
28,592,16032,-250,2653,896,-22,21,42,46375
-264,612,15964,-116,3104,497,-24,18,40,46410
-224,732,16352,-189,2478,1059,-24,22,40,46446
-320,388,16200,-427,2595,801,-23,22,41,46481
-760,136,17248,-216,1196,376,-26,22,41,46517
-124,528,16172,-296,84,-281,-25,23,40,46552
-764,336,16652,163,630,106,-26,21,40,46587
-636,448,16304,-89,39,-56,-25,21,39,46622
-740,556,16336,-188,395,69,-22,22,40,46657
-864,476,16604,-172,137,127,-23,22,40,46693
-696,432,16400,-220,-21,-67,-23,24,40,46728
-760,476,16652,-12,-271,-138,-23,22,39,46764
-764,428,16376,-33,-551,-183,-24,21,40,46798
-496,300,16296,-10,-443,-311,-24,21,39,46833
-720,432,16360,143,-319,-253,-24,23,41,46869
-564,440,16432,-141,-442,-156,-24,22,41,46904
-620,492,16340,28,-195,-167,-25,22,40,46940
-548,600,16516,137,-242,-115,-23,25,41,46974
-596,464,16508,86,-282,-43,-24,23,42,47010
-648,432,16464,265,-263,63,-24,21,40,47045
-664,392,16740,294,-668,14,-24,20,41,47080
-592,396,16500,357,-1282,185,-23,19,42,47116
-584,428,16732,69,-1636,109,-25,21,41,47151
-232,704,16188,441,-1203,161,-25,19,41,47186
-304,748,16432,543,-2118,483,-27,19,43,47221
-352,724,16440,585,-2033,893,-25,17,42,47257
64,940,16304,383,-2374,1102,-25,18,44,47292
344,600,15884,555,-1452,1534,-25,17,41,47328
56,800,16832,638,-1433,2003,-25,16,45,47363
668,884,16732,270,-1448,2375,-27,15,44,47398
792,508,16664,168,-1790,2415,-27,15,44,47433
1380,820,16056,1330,-1847,2696,-26,13,43,47469
1804,752,16004,507,-1712,2565,-26,13,44,47504
1640,448,16024,494,-948,2057,-28,12,44,47540
1864,804,15584,623,-745,1480,-25,11,44,47575
2192,880,15412,229,-530,1594,-26,12,45,47610
1752,764,15972,75,171,940,-25,8,44,47645
1652,776,16328,-17,321,553,-25,11,42,47681
1684,780,16348,-306,27,637,-27,10,43,47716
2012,632,16424,-130,-163,550,-25,9,42,47751
1676,636,16680,18,82,-78,-26,10,44,47787
1988,1492,15896,157,597,1651,-27,10,43,47821
1580,360,16356,-886,-126,1115,-27,11,43,47857
2004,560,15412,388,714,569,-29,11,42,47892
1132,1180,16008,-658,658,1708,-27,10,44,47928
864,192,16404,-858,432,984,-27,9,43,47963
1188,536,16008,103,51,866,-27,10,43,47998
992,608,16552,-222,89,419,-28,11,42,48033
1000,684,16716,231,1470,1467,-26,12,42,48069
1296,752,16912,458,174,1911,-26,11,42,48104
1564,88,16740,268,-245,1020,-28,12,42,48140
1544,292,15948,864,-1594,786,-28,11,42,48175
1200,-16,16664,1070,-2693,668,-28,10,43,48210
2256,1268,15536,872,-1860,454,-29,9,41,48245
1960,980,16212,706,-942,-416,-26,10,42,48281
2364,1128,15556,865,-326,-282,-29,8,43,48316
1644,968,17152,1288,500,-290,-29,10,41,48352
1588,1164,15020,1239,1448,38,-32,10,42,48387
1596,1328,16568,127,-1188,1347,-30,8,42,48422
1656,1444,16176,79,-105,883,-31,11,43,48457
1856,852,16316,-305,-505,506,-31,9,40,48493
2024,1012,16124,20,387,383,-31,9,41,48528
2384,1224,16308,4,381,164,-31,9,42,48563
1796,1032,16292,562,701,191,-31,8,43,48599
1848,1304,16344,297,438,83,-31,9,45,48633
1920,1328,16216,173,-98,-257,-31,9,43,48669
2108,1272,16188,318,150,-383,-31,9,42,48704
1904,1240,16108,70,-147,-165,-31,8,43,48740
1816,1396,16208,219,-177,-81,-30,10,41,48775
1824,1288,16244,336,-213,-199,-30,9,41,48809
1976,1312,16204,388,8,-200,-32,9,41,48845
1948,1788,16472,759,384,1,-31,8,41,48880
1616,1584,16484,400,107,-80,-30,10,43,48916
1872,1416,16260,-280,-273,1,-30,10,44,48951
2032,1388,16272,-180,-175,-39,-30,10,43,48987
1988,1208,16232,-143,-116,58,-30,9,44,49021
2436,1052,15872,-245,-22,23,-30,9,42,49056
2172,1288,15908,5,-55,66,-29,8,42,49092
2008,1288,16096,-40,4,63,-31,10,41,49127
1928,1376,16280,-315,-253,-12,-31,9,42,49163
2108,1136,16136,-319,162,162,-31,8,42,49198
1880,1172,16168,-474,-228,87,-30,9,43,49232
2224,1188,16172,-392,-147,159,-31,9,41,49268
2136,1060,15952,-553,89,330,-30,9,43,49303
2040,1112,16152,-813,71,434,-29,11,39,49339
2068,1080,16124,-744,339,308,-29,10,43,49374
1976,824,16464,-1203,-282,221,-28,9,43,49410
2060,932,16300,-566,442,82,-30,10,41,49444
1992,928,16288,-461,478,198,-29,8,43,49480
2072,960,16308,391,461,449,-29,9,41,49515
1864,1020,16396,416,785,93,-29,10,43,49551
1852,56,16140,-122,264,-120,-28,8,43,49586
1776,816,16232,138,586,221,-30,7,40,49620
1956,792,16276,-480,111,199,-29,9,42,49656
2004,752,16140,-433,-152,62,-29,10,44,49691
2052,732,16204,-612,-159,-27,-28,9,41,49727
1920,640,16388,-380,-85,-141,-29,10,43,49762
1972,604,16408,-326,-57,-322,-29,8,43,49798
1840,592,16460,142,137,-290,-31,9,41,49832
2032,620,16384,81,-13,-326,-30,8,41,49867
1616,812,16400,167,102,-122,-29,9,43,49903
2084,712,16208,-59,-196,-78,-29,9,42,49938
