ht,it,od digital,od analog,od mid,mx,my,mz,dt,v.x,v.y,p.x,p.y,p.z,mx_max,my_max,mz_max,mx_min,my_min,mz_min,mx_bias,my_bias,mz_bias,head,dhead,headingChange
7,7,0,0,204,-67,24,2,30,0,0,0.31,-0.28,0,7,9,5,-7,-8,-4,-69,14,1,105.95,88.32,-17.62
8,7,1,1,863,-69,21,4,30,0.07,0,0.38,-0.28,0,7,9,5,-7,-8,-4,-69,14,1,90,88.31,-1.69
9,8,1,0,158,-67,20,5,31,0.06,-0.03,0.44,-0.32,0,7,9,5,-7,-8,-4,-69,14,1,116.57,88.11,-28.46
10,9,1,0,194,-65,22,3,30,0.06,-0.04,0.5,-0.35,0,7,9,5,-7,-8,-4,-69,14,1,123.69,87.86,-35.83
10,10,1,1,873,-68,21,4,30,0.07,-0.01,0.57,-0.37,0,7,9,5,-7,-8,-4,-69,14,1,101.31,87.76,-13.55
11,11,0,0,192,-69,21,1,31,0,0,0.57,-0.37,0,7,9,5,-7,-8,-4,-69,14,1,90,87.76,-2.24
12,11,1,1,850,-65,21,5,30,0.06,-0.04,0.62,-0.41,0,7,9,5,-7,-8,-4,-69,14,1,128.66,87.48,-41.18
13,12,1,0,190,-66,23,1,31,0.06,-0.03,0.69,-0.44,0,7,9,5,-7,-8,-4,-69,14,1,113.2,87.29,-25.91
14,13,1,0,189,-68,22,5,30,0.07,-0.01,0.76,-0.45,0,7,9,5,-7,-8,-4,-69,14,1,99.46,87.2,-12.26
14,14,0,1,874,-68,19,3,31,0,0,0.76,-0.45,0,7,9,5,-7,-8,-4,-69,14,1,108.43,87.2,-21.23
15,14,1,0,191,-68,22,2,31,0.07,-0.01,0.83,-0.46,0,7,9,5,-7,-8,-4,-69,14,1,99.46,87.11,-12.35
16,15,1,1,867,-69,21,5,30,0.07,0,0.9,-0.46,0,7,9,5,-7,-8,-4,-69,14,1,90,87.09,-2.91
17,16,1,0,177,-67,19,6,30,0.06,-0.04,0.96,-0.5,0,7,9,5,-7,-8,-4,-69,14,1,123.69,86.82,-36.87
18,17,1,0,195,-68,23,1,31,0.07,-0.01,1.02,-0.51,0,7,9,5,-7,-8,-4,-69,14,1,98.13,86.73,-11.4
18,18,0,1,873,-66,21,3,31,0,0,1.02,-0.51,0,7,9,5,-7,-8,-4,-69,14,1,120.96,86.73,-34.23
19,18,1,0,192,-69,19,2,30,0.07,0,1.1,-0.51,0,7,9,5,-7,-8,-4,-69,14,1,90,86.71,-3.29
20,19,1,1,849,-67,19,4,30,0.06,-0.04,1.15,-0.55,0,7,9,5,-7,-8,-4,-69,14,1,123.69,86.43,-37.26
21,20,1,1,548,-69,21,3,31,0.07,0,1.22,-0.55,0,7,9,5,-7,-8,-4,-69,14,1,90,86.4,-3.6
22,21,1,0,163,-65,22,4,30,0.06,-0.04,1.28,-0.59,0,7,9,5,-7,-8,-4,-69,14,1,123.69,86.12,-37.57
22,22,0,1,875,-68,20,3,31,0,0,1.28,-0.59,0,7,9,5,-7,-8,-4,-69,14,1,104.04,86.12,-17.91
23,22,1,0,192,-67,21,3,31,0.07,-0.03,1.35,-0.62,0,7,9,5,-7,-8,-4,-69,14,1,111.8,85.92,-25.88
24,23,1,1,863,-69,21,4,30,0.07,0,1.42,-0.62,0,7,9,5,-7,-8,-4,-69,14,1,90,85.89,-4.11
